
step 0: train loss 4.2874, val loss 4.2823
[2023-09-29 15:47:26,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:26,847] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,238] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,453] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:27,907] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,124] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,450] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,665] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:28,988] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,206] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,534] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-09-29 15:47:29,753] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 2590: loss 1.3069, time 41.46ms, mfu 8.66%
iter 2600: loss 1.2858, time 41.18ms, mfu 8.70%
iter 2610: loss 1.2746, time 41.56ms, mfu 8.73%
iter 2620: loss 1.2667, time 41.21ms, mfu 8.76%
iter 2630: loss 1.2469, time 42.60ms, mfu 8.76%
iter 2640: loss 1.2791, time 42.62ms, mfu 8.76%
iter 2650: loss 1.3104, time 42.62ms, mfu 8.76%
iter 2660: loss 1.2818, time 41.46ms, mfu 8.78%
iter 2670: loss 1.2563, time 41.22ms, mfu 8.80%
iter 2680: loss 1.2860, time 41.59ms, mfu 8.82%
iter 2690: loss 1.2824, time 41.44ms, mfu 8.84%
iter 2700: loss 1.2626, time 42.90ms, mfu 8.82%
iter 2710: loss 1.2903, time 41.47ms, mfu 8.84%
iter 2720: loss 1.2759, time 41.19ms, mfu 8.86%
iter 2730: loss 1.2955, time 42.59ms, mfu 8.85%
iter 2740: loss 1.2652, time 41.35ms, mfu 8.86%
step 2750: train loss 1.1885, val loss 1.4596
saving checkpoint to perp
iter 2750: loss 1.2677, time 4960.37ms, mfu 7.99%
iter 2760: loss 1.2645, time 41.16ms, mfu 8.09%
iter 2770: loss 1.2619, time 41.17ms, mfu 8.19%
iter 2780: loss 1.2615, time 41.54ms, mfu 8.27%
iter 2790: loss 1.2726, time 41.18ms, mfu 8.34%
iter 2800: loss 1.2638, time 41.14ms, mfu 8.42%
iter 2810: loss 1.2872, time 41.39ms, mfu 8.47%
iter 2820: loss 1.2792, time 41.32ms, mfu 8.53%
iter 2830: loss 1.2745, time 41.18ms, mfu 8.58%
iter 2840: loss 1.2166, time 41.20ms, mfu 8.63%
iter 2850: loss 1.2727, time 41.17ms, mfu 8.67%
iter 2860: loss 1.2599, time 41.15ms, mfu 8.71%
iter 2870: loss 1.2606, time 41.53ms, mfu 8.73%
iter 2880: loss 1.2910, time 42.73ms, mfu 8.73%
iter 2890: loss 1.2545, time 41.63ms, mfu 8.76%
iter 2900: loss 1.2448, time 41.29ms, mfu 8.78%
iter 2910: loss 1.2860, time 41.70ms, mfu 8.80%
iter 2920: loss 1.2644, time 41.25ms, mfu 8.82%
iter 2930: loss 1.2492, time 41.38ms, mfu 8.84%
iter 2940: loss 1.2460, time 41.20ms, mfu 8.86%
iter 2950: loss 1.2673, time 41.16ms, mfu 8.88%
iter 2960: loss 1.2576, time 41.26ms, mfu 8.89%
iter 2970: loss 1.2363, time 42.84ms, mfu 8.87%
iter 2980: loss 1.2387, time 41.31ms, mfu 8.89%
iter 2990: loss 1.2478, time 41.17ms, mfu 8.91%
step 3000: train loss 1.1615, val loss 1.4378
saving checkpoint to perp
iter 3000: loss 1.2369, time 4988.33ms, mfu 8.02%
